Studio Name,Service type,Rating,Address,City,,yYlJEf href
RAVI Studio,· Photography studio,4.3," GX7C+CMP, Sasthamangalam - Pipinmoodu Rd",Trivandrum, 0471 272 2965,
Box Foto,· Photography studio,4.9, Samastha jubilee memorial soudham 4th floor. Room no: 511 Mele,Trivandrum, 080750 61021,http://www.boxfoto.in/
Mahima Digital Studio,· Photography studio,4.1," GW8V+9W3, Near Palamoodu Bridge",Trivandrum, 0471 254 3631,
Paramount Photographers,· Photography studio,3.9," Paramount photographers,West Wind, Vellayambalam - Vazhuthacaud Rd, opp. Kerala State Police Headquarters",Trivandrum, 094000 20202,http://www.paramountphotographers.com/
Sagara Studio,· Photography studio,4.2, near A J Hall,Trivandrum, 075103 33388,
Foto World,· Photography studio,4.3," T.C 2/3306 Chalakuzhi Road, Pattom",Trivandrum, 098950 83638,
Sivan's Digital Studio,· Photography studio,4.2," FWMR+7HX, W Fort Rd",Trivandrum,,
Focus Digital Studio,· Photography studio,4.4," Kumarapuram Rd, near Shantigiri Vaidyashala",Trivandrum, 098461 08744,https://website-755594047032609368179-photographystudio.business.site/?utm_source=gmb&utm_medium=referral
Dyna Studio thiruvananthapuram,· Photographer,4, Reserve Bank Bakery Service Road,Trivandrum, 0471 232 4282,
SHYAM PHOTOGRAPHY,· Photography studio,5," Thiruvananthapuram, Kerala",Trivandrum,,https://www.facebook.com/shyamphotographyy
BOX FOTO (Photography /Videography),· Photography studio,5," Sreenivas Building, Gandhari Amman Kovil Rd",Trivandrum, 094965 47176,http://www.boxfoto.in/
Kailas Digital Studio,· Photography studio,4.5, GX7C+5Q7,Trivandrum, 0471 231 4778,
Rolling Frames Photography Studio,· Wedding photographer,4.8," 2nd Floor, Golden Palace, Junction",Trivandrum, 088939 83777,http://www.therollingframes.com/
Milas Digital Studio,· Photography studio,4.1," Thiruvananthapuram, Kerala",Trivandrum,,
Fotonik,· Photography studio,3.9," Vinayaka Tower, SS Kovil Rd",Trivandrum, 0471 233 2881,
Kishore Radhakrishnan's BokehTree,· Photography studio,4.7," Krishna, LA2",Trivandrum,,http://www.kishoreradhakrishnan.com/
"Ravi Studio, Vazhuthacaud, TVPM",· Photographer,4.2," Thiruvananthapuram, Kerala",Trivandrum, 098471 85106,
Babas Studio East fort,· Photography studio,3.9, Kerala,Trivandrum,,https://babas.in/
"PHOTO PARLOR DIGITAL STUDIO, PATTOOR",· Photography studio,4.9,,Trivandrum, 085906 84727,
Pranav Studio,· Photography studio,3.9," Government Law College, jn, varambasseri",Trivandrum, 094465 24480,
,,,,Trivandrum,,
,,,,Trivandrum,,
Studio Olimpia,· Photography studio,4.5, Opposite Muslim Association Model School,Trivandrum, 090370 00080,
Achas Digital Color Lab & Studio,· Wedding photographer,4," Ground Floor, CSI Building, Mahatma Gandhi Rd, Jn",Trivandrum, 0471 247 1791,http://achasstudio.shopatkerala.com/
ARP Studios,· Photography studio,4.8," P.O, STRA C-29, Kollavila, Thaliyal Rd",Trivandrum, 097781 23469,
